note,points,harmonic_core_points,spawned_note_box_points,spawned_residual_points,unassigned_points,assigned_harmonics,out_csv,out_png,out_html
031_piano_real_8.4-,56370,6027,6192,9158,34993,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\031_piano_real_8.4-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\031_piano_real_8.4-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\031_piano_real_8.4-__harmonic_chain_spiral3d.html
032_piano_real_8.5-,84517,6970,11534,8033,57980,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\032_piano_real_8.5-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\032_piano_real_8.5-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\032_piano_real_8.5-__harmonic_chain_spiral3d.html
033_piano_real_8.6-,75983,7110,10820,8439,49614,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\033_piano_real_8.6-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\033_piano_real_8.6-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\033_piano_real_8.6-__harmonic_chain_spiral3d.html
034_piano_real_8.7-,40657,5916,1431,10521,22789,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\034_piano_real_8.7-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\034_piano_real_8.7-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\034_piano_real_8.7-__harmonic_chain_spiral3d.html
035_piano_real_8.8-,90082,7084,14715,8126,60157,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\035_piano_real_8.8-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\035_piano_real_8.8-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\035_piano_real_8.8-__harmonic_chain_spiral3d.html
036_piano_real_8.9-,94211,6467,17003,8491,62250,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\036_piano_real_8.9-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\036_piano_real_8.9-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\036_piano_real_8.9-__harmonic_chain_spiral3d.html
037_piano_real_8.A-,95176,6393,16349,8776,63658,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\037_piano_real_8.A-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\037_piano_real_8.A-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\037_piano_real_8.A-__harmonic_chain_spiral3d.html
038_piano_real_8.B-,66696,6073,9694,10349,40580,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\038_piano_real_8.B-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\038_piano_real_8.B-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\038_piano_real_8.B-__harmonic_chain_spiral3d.html
039_piano_real_8.C-,101023,6004,21520,9193,64306,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\039_piano_real_8.C-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\039_piano_real_8.C-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\039_piano_real_8.C-__harmonic_chain_spiral3d.html
040_piano_real_9.1-,97197,6373,21172,8879,60773,1 2 3 4 5 6 7 8 9 10 11 12,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\040_piano_real_9.1-__harmonic_chain_spiral3d_points.csv,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\040_piano_real_9.1-__harmonic_chain_spiral3d.png,E:\Duodecimal_resonant_numeration\Block004_data\RealPiano_1_1\55_harmonic_chain_spiral3d\040_piano_real_9.1-__harmonic_chain_spiral3d.html
